Sample name , age , uncertainty , unit name ,  sequential order
19RCS21 , 26075 , 877 , RCIII , 3
19RCS23 , 26845 , 846 , RCIII , 3
19RCS24 , 23907 , 709 , RCIII , 3
19RCS25 , 26981 , 810 , RCIII , 3
19RCS27 , 25887 , 855 , RCIII , 3
19RCS28 , 27365 , 873 , RCIII , 3
19RCS13 , 30447 , 1029 , RCIV , 4
19RCS15 , 21074 , 610 , RCIV , 4
19RCS16 , 21575 , 629 , RCIV , 4
19RCS17 , 21525 , 727 , RCIV , 4
19RCS51 , 22895 , 717 , RCIV , 4
19RCS52 , 21254 , 626 , RCIV , 4
19RCS38 , 22650 , 981 , RCV , 5
19RCS40 , 21936 , 641 , RCV , 5
19RCS41 , 21745 , 744 , RCV , 5
19RCS42 , 19803 , 562 , RCV , 5
19RCS43 , 21747 , 680 , RCV , 5
19RCS44 , 23272 , 796 , RCV , 5
19RCS30 , 21060 , 704 , RCVI , 6
19RCS31 , 19124 , 620 , RCVI , 6
19RCS33 , 20151 , 667 , RCVI , 6
19RCS34 , 21451 , 722 , RCVI , 6
19RCS32 , 17825 , 591 , RCVI , 6
19RCS36 , 21462 , 728 , RCVI , 6
19RCS07 , 17532 , 547 , RCVII , 7
19RCS08 , 20443 , 728 , RCVII , 7
19RCS09 , 27654 , 743 , RCVII , 7
19RCS11 , 19015 , 623 , RCVII , 7
19RCS12 , 23192 , 668 , RCVII , 7
RC20-29 , 23535 , 704 , RCVII , 7
19RHS02 , 18790 , 654 , RH790 , 8
19RHS03 , 19355 , 623 , RH790 , 8
19RHS04 , 19834 , 672 , RH790 , 8
19RCS05 , 16917 , 650 , RC680 , 9
19RCS04 , 16640 , 510 , RC680 , 9
19RCS03 , 15416 , 496 , RC680 , 9
19RPS01 , 16023 , 751 , RP , 10
19RPS02 , 16474 , 543 , RP , 10

